IES_ID;IES_ID_SNIESE;IES_NOMBRE_INSTIT;PRO_NOMBRE;CAN_NOMBRE;PRQ_NOMBRE;CAR_NOMBRE_CARRERA;AREA_NOMBRE;SUBAREA_NOMBRE;NIVEL;MODALIDAD;JORNADA;OFA_TITULO;OFA_ID;CUS_ID;CUS_CUPOS_NIVELACION;CUS_CUPOS_PRIMER_SEMESTRE;CUS_CUPOS_PC;CUS_TOTAL_CUPOS;DESCRIPCION_TIPO_CUPO;FOCALIZADA
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;TOSAGUA;TOSAGUA, CABECERA CANTONAL;ELECTROMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;NOCTURNA;;245207;349557;0;32;3;35;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;EDUCACION BASICA;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;NOCTURNA;;246567;349452;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ECONOMIA;CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO;TERCER NIVEL;PRESENCIAL;MATUTINA;;249620;350449;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;TECNOLOGIAS DE LA INFORMACION;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TERCER NIVEL;PRESENCIAL;MATUTINA;;245912;350708;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;TERAPIA OCUPACIONAL;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;MATUTINA;;246263;350323;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;ARQUITECTURA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;ARQUITECTURA Y CONSTRUCCION;TERCER NIVEL;PRESENCIAL;NOCTURNA;;245191;349113;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;SOFTWARE;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC);TERCER NIVEL;PRESENCIAL;MATUTINA;;250010;350491;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;ALIMENTOS;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INDUSTRIA Y PRODUCCION;TERCER NIVEL;PRESENCIAL;MATUTINA;;249504;349660;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;ELECTROMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;MATUTINA;;250018;350569;0;32;3;35;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;ELECTROMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;NOCTURNA;;250865;349215;0;33;2;35;CUPOS_PRIMER_SEMESTRE;N
